Topic;Question;Correct Answer ;Subtopic;Reference;Latest update;Link
1;What is the recommended slice thickness for detecting interstitial lung disease on high-resolution CT (HRCT)?;less or equal to 1.5-mm slice thickness;Imaging Protocol;ACR-STR PRACTICE PARAMETER FOR THE PERFORMANCE OF HIGH-RESOLUTION COMPUTED TOMOGRAPHY (HRCT) OF THE LUNGS IN ADULTS;2020;https://www.acr.org/-/media/ACR/Files/Practice-Parameters/HRCT-Lungs.pdf
2;What is the standard protocol for an MRI of the pelvis to evaluate for prostate cancer?;Multiparametric MRI including T2-weighted, DWI, and dynamic contrast-enhanced sequences.;Imaging Protocol;Standard Operating Procedure for Multiparametric Magnetic Resonance Imaging in the Diagnosis, Staging and Management of Prostate Cancer;May 19;https://www.auanet.org/guidelines-and-quality/guidelines/other-clinical-guidance/mri-of-the-prostate-sop
3;Which phases of a CT protocol are required for suspected HCC according to LI-RADS?;"� Arterial phase (late arterial phase strongly preferred)
� Portal venous phase
� Delayed phase";Imaging Protocol;"CT/MRI LI-RADS v2018
Technical Recommendations";2018;https://www.acr.org/-/media/ACR/Files/RADS/LI-RADS/LI-RADS-2018-Core.pdf
4;Which MRI sequences are used to detect intracranial microbleeds?;Cerebral microhemorrhages are only seen on susceptibility weighted T2* sequences such as gradient-recalled echo (GRE) and susceptibility weighted imaging (SWI).;Imaging Protocol;Radiopaedia;-;https://radiopaedia.org/articles/cerebral-microhaemorrhage#:~:text=Radiographic%20features-,MRI,weighted%20imaging%20(SWI)%2024.
5;Which MRI sequence helps differentiating endometriomas from mature cystic teratomas?;T1-weighted sequence with fat suppression;Imaging Protocol;Radiopaedia;-;https://radiopaedia.org/articles/endometriosis?lang=us
6;What is the typical radiation dose for a standard chest X-ray?;0.1 mSv;Radioprotection;ACR: Radiation Dose to Adults From Common Imaging Examinations;May 22;https://www.acr.org/-/media/ACR/Files/Radiology-Safety/Radiation-Safety/Dose-Reference-Card.pdf
7;According to the ACR, what are the suspected in utero induced deterministic radiation effects when 80 mGy are administered to a pregnant patient with a menstrual age of 25 weeks?;None;Radioprotection;ACR-SPR PRACTICE PARAMETER FOR IMAGING PREGNANT OR POTENTIALLY PREGNANT PATIENTS WITH IONIZING RADIATION;2023;https://www.acr.org/-/media/ACR/Files/Practice-Parameters/Pregnant-Pts.pdf
8;What is the recommended position of the image receptor in fluoroscopy-guided interventions in terms of radioprotection? ;Place the image receptor as close as reasonably possible to the patient.;Radioprotection;ACR-AAPM TECHNICAL STANDARD FOR MANAGEMENT OF THE USE OF RADIATION IN FLUOROSCOPIC PROCEDURES;2023;https://www.acr.org/-/media/ACR/Files/Practice-Parameters/MgmtFluoroProc.pdf
9;Should retrospective or prospective ECG gating be used in CT coronary angiography to minimize radiation dose?;Prospective ECG gating should be used in CT coronary angiography to minimize radiation dose.;Radioprotection;Prospective versus retrospective ECG-gated multislice CT coronary angiography: a systematic review of radiation dose and diagnostic accuracy;2012;https://pubmed.ncbi.nlm.nih.gov/21316887/
10;What is the recommended CTDIvol diagnostic reference value for a non-enhanced head CT scan of a 1.5 year old patient? ;27 mGy;Radioprotection; ACR-AAPM-SPR PRACTICE PARAMETER FOR DIAGNOSTIC REFERENCE LEVELS AND ACHIEVABLE DOSES IN MEDICAL X-RAY IMAGING;2023;https://www.acr.org/-/media/ACR/Files/Practice-Parameters/Diag-Ref-Levels.pdf
