discreteSemanticEntropy,isAnswerCorrect,predictedAnswer,semanticClustering,trueCluster,usedPrompt
-0.0,False,Focal nodular hyperplasia (FNH).,"[['Focal nodular hyperplasia (FNH).', 'Focal nodular hyperplasia (FNH).', 'Focal nodular hyperplasia (FNH).', 'Focal nodular hyperplasia (FNH).', 'Focal Nodular Hyperplasia (FNH).', 'Focal nodular hyperplasia (FNH).', 'Focal nodular hyperplasia (FNH).', 'Focal nodular hyperplasia (FNH).', 'Focal nodular hyperplasia (FNH).', 'Focal nodular hyperplasia (FNH).']]",-1,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
I see a lesion in an MRI of the liver that is slightly hyperintense on T2 and hypointense on T1 relative to the surrounding liver parenchyma. The lesion shows heterogenous arterial enhancement and a washout in the venous phase. The lesion shows a central scar on T2w imaging. What is the most likely diagnosis?"
-0.0,False,Multiple myeloma.,"[['The most likely underlying condition is multiple myeloma.', 'The most likely underlying condition is multiple myeloma.', 'The most likely underlying condition is multiple myeloma.', 'Multiple myeloma.', 'Multiple myeloma.', 'Multiple myeloma.', 'Multiple myeloma.', 'Multiple myeloma.', 'Multiple myeloma.', 'Multiple myeloma.']]",-1,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
I see prominent endplate densities at multiple contiguous vertebral levels on a sagittal X-ray of the spine and a well-defined lesion of the sixth rib on a chest X-ray. What is the most likely underlying condition? "
-0.0,True,Epidural hematoma.,"[['Epidural hematoma.', 'Epidural hematoma.', 'Epidural hematoma.', 'Epidural hematoma.', 'Epidural hematoma.', 'Epidural hematoma.', 'Epidural hematoma.', 'Epidural hematoma.', 'Epidural hematoma.', 'Epidural hematoma.']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
I�m looking at a non-contrast CT of the head of a patient after trauma. I see a large biconvex structure in the left frontotemporal region. What is the most likely diagnosis? "
-0.0,True,This could be a prostate cancer lesion.,"[['This lesion could be indicative of prostate cancer.', 'This lesion could be indicative of prostate cancer.', 'This could be indicative of prostate cancer.', 'This could be a prostate cancer lesion.', 'This lesion could be indicative of prostate cancer.', 'This lesion could be indicative of prostate cancer.', 'This could be a prostate cancer lesion.', 'This lesion could be a prostate cancer.', 'This could be a prostate cancer lesion.', 'This could be indicative of a prostate cancer lesion.']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
I am looking at a prostate MRI and see a lesion in the right posterolateral peripheral zone. The lesion is hypointense in T2, hyperintense in DWI, hypointense in ADC and has a strong and early signal enhancement after contrast administration. What kind of lesion could this be?"
-0.0,False,Recurrent pyogenic cholangitis.,"[['Recurrent pyogenic cholangitis.', 'Recurrent pyogenic cholangitis.', 'Recurrent pyogenic cholangitis.', 'Recurrent pyogenic cholangitis.', 'Recurrent pyogenic cholangitis.', 'Recurrent pyogenic cholangitis.', 'Recurrent pyogenic cholangitis.', 'Recurrent pyogenic cholangitis.', 'Recurrent pyogenic cholangitis.', 'Recurrent pyogenic cholangitis.']]",-1,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
A 24 year-old patient presents with right upper quadrant pain, fever and jaundice. MRI of the liver shows T1-hypointense, T2-hyperintense, segmental dilatation of the intrahepatic bile ducts, leading to a multicystic appearance. There are multiple concrements in the intrahepatic bile ducts. The patient has no history of bowel disease. What is the most likely diagnosis? "
-0.0,True,Adrenal adenoma.,"[['Adrenal adenoma.', 'Adrenal adenoma.', 'Adrenal adenoma.', 'Adrenal adenoma.', 'Adrenal adenoma.', 'Adrenal adenoma.', 'Adrenal adenoma.', 'Adrenal adenoma.', 'Adrenal adenoma.', 'Adrenal adenoma.']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
I see an adrenal lesion in an MRI of the epigastric region. The lesion demonstrates a strong signal dropout on opposed-phase images. What is the most likely diagnosis? "
-0.0,True,Radiation-induced brain calcifications.,"[['The most likely diagnosis is radiation-induced brain calcifications.', 'Radiation-induced brain calcifications.', 'The most likely diagnosis is radiation-induced brain calcifications.', 'Radiation-induced brain calcifications.', 'The most likely diagnosis is radiation-induced brain injury.', 'Radiation-induced brain calcifications.', 'Radiation-induced brain calcifications.', 'Radiation-induced brain calcifications.', 'Radiation-induced brain injury.', 'Radiation-induced brain calcifications.']]",-1,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
CT of the brain reveals dystrophic calcifications at the corticomedullary junction, lentiform nuclei and the dentate nucleus. The patient has a history of childhood radiation therapy. What is the most likely diagnosis?"
-0.0,True,Budd-Chiari syndrome.,"[['Budd-Chiari syndrome.', 'Budd-Chiari syndrome.', 'Budd-Chiari syndrome.', 'Budd-Chiari syndrome.', 'Budd-Chiari syndrome.', 'Budd-Chiari syndrome.', 'Budd-Chiari syndrome.', 'Budd-Chiari syndrome.', 'Budd-Chiari syndrome.', 'Budd-Chiari syndrome.']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
CT shows an inhomogeneous mottled liver, delayed enhancement of the peripheral liver with accompanying central low density and early enhancement of the caudate lobe and central liver around the inferior vena cava. What is the most likely diagnosis?"
-0.0,True,Groove pancreatitis.,"[['Groove pancreatitis.', 'Groove pancreatitis.', 'Groove pancreatitis.', 'Groove pancreatitis.', 'Groove pancreatitis.', 'Groove pancreatitis.', 'Groove pancreatitis.', 'The most likely diagnosis is groove pancreatitis.', 'Groove pancreatitis.', 'Groove pancreatitis.']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.

CT shows cystic thickening of the duodenal wall with duodenal stenosis, common bile duct dilatation and fibrous tissue within the pancreaticoduodenal groove with late enhancement after contrast administration. What is the most likely diagnosis?"
-0.0,False,Sarcoidosis.,"[['Sarcoidosis.', 'Sarcoidosis.', 'Sarcoidosis.', 'Sarcoidosis.', 'Sarcoidosis.', 'Sarcoidosis.', 'Sarcoidosis.', 'Sarcoidosis.', 'Sarcoidosis.', 'Sarcoidosis.']]",-1,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
CT shows bilateral pulmonaly nodules in a perilymphatic distribution with upper-lobe predominance and enlarged lymph nodes with fine calcification seen at the periphery of the lymph node. What is the most likely diagnosis? "
