discreteSemanticEntropy,isAnswerCorrect,predictedAnswer,semanticClustering,trueCluster,usedPrompt
-0.0,False,When the patient is hemodynamically stable.,"[['Embolization is preferred over surgery when the patient is hemodynamically stable with active splenic bleeding from blunt trauma.', 'Embolization is preferred over surgery when a hemodynamically stable patient with blunt splenic trauma shows active bleeding on imaging studies.', 'In cases of blunt trauma with active splenic bleeding, embolization is preferred over surgery when the patient is hemodynamically stable.', 'When the patient is hemodynamically stable with blunt splenic trauma and active bleeding.', 'Embolization is preferred over surgery when the patient is hemodynamically stable.', 'When the patient is hemodynamically stable and suitable for nonoperative management.', 'Embolization is preferred over surgery in hemodynamically stable patients with active splenic bleeding following blunt trauma.', 'Embolization is preferred over surgery in hemodynamically stable patients with blunt splenic trauma who have active bleeding identified on imaging.', 'Embolization is preferred over surgery when the patient is hemodynamically stable.', 'Embolization is preferred over surgery when the patient is hemodynamically stable with active splenic bleeding.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
In cases of blunt trauma with active splenic bleeding, when is embolization preferred over surgery?"
-0.0,False,Imaging is indicated if there is a detectable and rising PSA level (biochemical recurrence) after radical prostatectomy.,"[['Imaging is indicated when there is a detectable or rising PSA level suggesting biochemical recurrence after radical prostatectomy.', 'Imaging is indicated if there is a detectable or rising prostate-specific antigen (PSA) level after surgery, signifying biochemical recurrence.', 'Imaging is indicated when there is a detectable or rising PSA level indicating biochemical recurrence.', 'Imaging is indicated if there is a detectable rise in PSA levels suggesting biochemical recurrence.', 'Imaging is indicated if there is a detectable and rising PSA level (biochemical recurrence) after surgery.', 'Imaging is indicated if there is a detectable or rising PSA level after surgery, indicating biochemical recurrence.', 'Imaging is indicated if there is biochemical recurrence, defined as a PSA level of ≥0.2\u202fng/mL with a confirmatory rise.', 'Imaging is indicated if there is a detectable or rising PSA level suggesting biochemical recurrence.', 'Imaging is indicated when there is a detectable or rising PSA level suggesting biochemical recurrence.', 'Imaging is indicated if there is a detectable or rising PSA level suggesting biochemical recurrence.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
For a patient who has undergone radical prostatectomy for prostate cancer, when is imaging indicated for follow-up?"
-0.0,False,Annual low-dose CT (LDCT) screening for lung cancer is recommended for adults aged 50 to 80 years who have a 20 pack-year or greater smoking history and currently smoke or have quit within the past 15 years.,"[['Low-dose CT screening is recommended annually for adults aged 50 to 80 years who have a 20 pack-year or more smoking history and currently smoke or have quit within the past 15 years.', 'Low-dose CT screening is recommended for adults aged 50 to 80 who have a 20 pack-year or greater smoking history and currently smoke or have quit within the past 15 years.', 'Low-dose CT screening is recommended for adults aged 50–80 years with a 20 pack-year or greater smoking history who currently smoke or have quit within the past 15 years.', 'Low-dose CT screening is recommended annually for adults aged 50 to 80 years who have at least a 20 pack-year smoking history and currently smoke or have quit within the past 15 years.', 'Low-dose CT (LDCT) screening for lung cancer is recommended annually for adults aged 50 to 80 years who have a 20 pack-year smoking history and currently smoke or have quit within the past 15 years.', 'Low-dose CT screening is recommended for adults aged 50 to 80 years with a 20 pack-year smoking history who currently smoke or have quit within the past 15 years.', 'Low-dose CT screening is recommended annually for adults aged 50–80 years who have at least a 20 pack-year smoking history and currently smoke or have quit within the past 15 years.', 'Low-dose CT (LDCT) screening is recommended annually for adults aged 50 to 80 years who have at least a 20 pack-year smoking history and currently smoke or have quit within the past 15 years.', 'Low-dose CT screening is recommended annually for adults aged 50 to 80 years who have a 20 pack-year or more smoking history and currently smoke or have quit within the past 15 years.', 'Low-dose CT (LDCT) screening for lung cancer is recommended for adults aged 50 to 80 years who have a 20 pack-year or greater smoking history and who currently smoke or have quit within the past 15 years.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
When is low-dose CT (LDCT) screening recommended for lung cancer in high-risk populations?"
-0.0,True,Ultrasound is recommended for one-time screening of abdominal aortic aneurysm in men aged 65 to 75 years who have ever smoked.,"[['Ultrasound is recommended for one-time screening of abdominal aortic aneurysm in men aged 65 to 75 who have ever smoked.', 'Abdominal ultrasound is recommended as a one-time screening for abdominal aortic aneurysm in men aged 65 to 75 years who have ever smoked.', 'Ultrasound is recommended for one-time screening of abdominal aortic aneurysm in men aged 65 to 75 who have ever smoked.', 'Ultrasound is recommended as a one-time screening method for abdominal aortic aneurysm in men aged 65 to 75 years who have ever smoked.', 'Ultrasound is recommended for one-time screening of abdominal aortic aneurysm in men aged 65 to 75 years who have ever smoked.', 'Abdominal ultrasound is recommended as a one-time screening test for abdominal aortic aneurysm in men aged 65 to 75 who have ever smoked.', 'Ultrasound is recommended as a one-time screening test for abdominal aortic aneurysm in men aged 65 to 75 who have ever smoked.', 'Ultrasound is the recommended method for one-time screening for abdominal aortic aneurysm in men aged 65 to 75 years who have ever smoked.', 'Ultrasound is recommended as a one-time screening test for abdominal aortic aneurysm in men aged 65 to 75 years who have ever smoked, according to current U.S. guidelines.', 'Abdominal ultrasound is used to screen for abdominal aortic aneurysm in men aged 65 to 75 who have ever smoked.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
What is the role of ultrasound in screening for abdominal aortic aneurysm in men?"
-0.0,False,A multiphasic contrast-enhanced CT scan of the abdomen and pelvis using a pancreatic protocol is recommended for primary staging in pancreatic adenocarcinoma.,"[['Contrast-enhanced multidetector computed tomography (MDCT) with a pancreas protocol.', 'A contrast-enhanced multiphase multidetector CT scan using a pancreatic protocol is recommended.', 'A contrast-enhanced multiphasic CT scan using a pancreas-specific protocol is recommended.', 'A multiphase contrast-enhanced computed tomography (CT) scan using a pancreatic protocol is recommended.', 'Contrast-enhanced multidetector computed tomography (MDCT) with a pancreatic protocol is recommended for primary staging in pancreatic adenocarcinoma.', 'Contrast-enhanced multiphasic CT scan with a pancreatic protocol is recommended for primary staging in pancreatic adenocarcinoma.', 'The recommended imaging modality is contrast-enhanced multidetector computed tomography (MDCT) using a dedicated pancreatic protocol.', 'Contrast-enhanced pancreatic protocol multidetector-row computed tomography (MDCT) is recommended for primary staging in pancreatic adenocarcinoma.', 'A contrast-enhanced multidetector computed tomography (MDCT) with a pancreatic protocol is recommended for primary staging in pancreatic adenocarcinoma.', 'A contrast-enhanced, pancreas-specific multidetector CT scan is recommended for primary staging in pancreatic adenocarcinoma.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
Which imaging modality and protocol is recommended for primary staging in pancreatic adenocarcinoma?"
-0.0,True,Order a contrast-enhanced MRI of the head and neck.,"[['Order a contrast-enhanced MRI of the head and neck to assess for perineural invasion and skull base involvement.', 'An MRI with contrast of the head and neck region is recommended.', 'The recommended initial local imaging is contrast-enhanced MRI of the head and neck to assess tumor extent and perineural invasion.', 'Order a contrast-enhanced MRI of the head and neck to evaluate for perineural invasion and skull base involvement.', 'An MRI with contrast of the head and neck region is recommended as the initial local imaging modality.', 'An MRI of the head and neck with contrast is recommended.', 'Obtain a contrast-enhanced MRI of the head and neck.', 'A contrast-enhanced MRI is the recommended initial local imaging.', 'Contrast-enhanced MRI of the head and neck.', 'Order a contrast-enhanced MRI of the head and neck.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
What is the recommended initial workup regarding local imaging for a patient with head and neck cancer and cranial nerve symptoms?"
-0.0,False,"A diagnostic FDG PET/CT scan with contrast-enhanced CT of the neck, chest, abdomen, and pelvis.","[['A baseline whole-body PET/CT scan.', 'Obtain a PET-CT scan for initial staging.', 'A whole-body FDG–PET/CT scan for staging.', 'A whole-body FDG-PET/CT scan for staging.', 'A whole-body PET/CT scan.', 'A staging PET/CT scan from skull base to mid-thigh.', 'The initial imaging workup for an adolescent with Hodgkin Lymphoma includes a whole-body positron emission tomography-computed tomography (PET-CT) scan.', 'A whole-body PET-CT scan with intravenous contrast for staging.', 'The initial imaging workup is a whole-body PET/CT scan.', 'An FDG-PET/CT scan is recommended for the initial imaging workup in an adolescent with Hodgkin lymphoma.']]",-1,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
What is the initial imaging workup in terms of imaging for an adolescent with Hodgkin Lymphoma?"
-0.0,True,Plain radiography (X-ray) of the hip.,"[['A plain radiograph (X-ray) of the hip is recommended first.', 'Plain radiography (X-ray) is the recommended first imaging modality.', 'Plain radiographs (X-rays) of the hip.', 'An initial plain radiograph (X-ray) of the hip.', 'Plain radiography (X-ray) is recommended first.', 'A plain radiograph (X-ray) of the hip is recommended first for suspected osteonecrosis.', 'Plain radiographs (X-rays) of the hip.', 'Plain radiography (X-ray) of the hip.', 'Plain radiographs (X-rays) of the hip.', 'Plain radiographs (X-rays) of the hip.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
For the evaluation of suspected osteonecrosis of the hip, what imaging modality is recommended first?"
-0.0,True,Abdominal ultrasound,"[['Ultrasound is the first-line imaging study for suspected appendicitis in pediatric patients.', 'Abdominal ultrasound.', 'An abdominal ultrasound.', 'Ultrasound.', 'An abdominal ultrasound is the first-line imaging study for suspected appendicitis in pediatric patients according to current U.S. guidelines.', 'Ultrasound.', 'Ultrasound.', 'An abdominal ultrasound is the first-line imaging study for suspected appendicitis in pediatric patients.', 'Ultrasound.', 'Abdominal ultrasound.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
Which imaging study is first-line for suspected appendicitis in pediatric patients?"
-0.0,False,MRI (Magnetic Resonance Imaging),"[['Magnetic Resonance Imaging (MRI).', 'Magnetic Resonance Imaging (MRI).', 'MRI (Magnetic Resonance Imaging).', 'Magnetic Resonance Imaging (MRI)', 'MRI (Magnetic Resonance Imaging)', 'MRI (Magnetic Resonance Imaging)', 'Magnetic Resonance Imaging (MRI).', 'Magnetic Resonance Imaging (MRI) is indicated when initial X-rays are negative for a suspected scaphoid fracture.', 'Magnetic Resonance Imaging (MRI)', 'MRI of the wrist is indicated.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
Which imaging modality is indicated for the diagnosis of scaphoid fracture when initial X-rays are negative?"
