discreteSemanticEntropy,isAnswerCorrect,predictedAnswer,semanticClustering,trueCluster,usedPrompt
-0.0,True,High-resolution computed tomography (HRCT) of the chest is recommended for the evaluation of suspected bronchiectasis.,"[['High-resolution computed tomography (HRCT) of the chest is recommended.', 'High-resolution computed tomography (HRCT) of the chest is recommended.', 'Computed Tomography (CT) scans are recommended by the American Thoracic Society (ATS) for the evaluation of suspected bronchiectasis.', 'High-resolution computed tomography (HRCT) is recommended for the evaluation of suspected bronchiectasis.', 'High-resolution computed tomography (HRCT) is recommended for the evaluation of suspected bronchiectasis.', 'High-resolution CT (HRCT) scan is recommended for the evaluation of suspected bronchiectasis, according to current US-American guidelines (e.g., American Thoracic Society, European Respiratory Society).', 'High-resolution computed tomography (HRCT) is the preferred imaging modality for evaluating suspected bronchiectasis, according to the American Thoracic Society (ATS) guidelines.', 'High-resolution computed tomography (HRCT) of the chest is recommended by the American Thoracic Society guidelines for the diagnosis of bronchiectasis.', 'High-resolution computed tomography (HRCT) of the chest is the recommended imaging modality for evaluating suspected bronchiectasis, according to guidelines from the American Thoracic Society and the European Respiratory Society.', 'High-resolution computed tomography (HRCT) is recommended.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
What imaging modality is recommended for the evaluation of suspected bronchiectasis?"
0.14118174150460758,True,"Ultrasound (US) is recommended as the initial imaging modality for suspected appendicitis in pediatric patients, according to the American College of Radiology (ACR) and the Society for Pediatric Radiology (SPR).","[['Ultrasound (US) of the abdomen, according to the American Academy of Pediatrics (AAP) and the Society for Pediatric Radiology (SPR).', 'Abdominal ultrasound.', 'The first-line imaging study for suspected appendicitis in pediatric patients, according to current US guidelines (e.g., American Academy of Pediatrics), is ultrasonography.', 'The American Academy of Pediatrics recommends ultrasound as the initial imaging modality for suspected appendicitis in pediatric patients, due to its high sensitivity and lack of ionizing radiation.', 'According to the American Academy of Pediatrics (AAP) and other current guidelines, ultrasonography (US) is the first-line imaging study for suspected appendicitis in pediatric patients.', 'The first-line imaging study for suspected appendicitis in pediatric patients is an ultrasound.', 'US (Ultrasound) of the right lower quadrant abdomen is typically considered first-line for suspected appendicitis in pediatric patients, according to the American Academy of Pediatrics and other guidelines.', 'According to the American Academy of Pediatrics (AAP) 2012 guideline, ultrasound is the first-line imaging modality for suspected appendicitis in pediatric patients.', 'Ultrasound (US) is considered the first-line imaging modality for suspected appendicitis in pediatric patients, according to the American Academy of Pediatrics and other relevant guidelines.'], [""Ultrasound of the abdomen, followed by CT scan if ultrasound findings are inconclusive or suggestive of appendicitis. (Reference: 2012 American College of Surgeons and the Children's Hospital Association guidelines)""]]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
Which imaging study is first-line for suspected appendicitis in pediatric patients?"
0.27752801040644504,False,"According to the 2020 US Preventive Services Task Force (USPSTF) guidelines, low-dose computed tomography (LDCT) screening is recommended annually for adults aged 50-80 years who have a 20-pack-year smoking history and currently smoke or have quit within the past 15 years.","[['According to the 2020 U.S. Preventive Services Task Force (USPSTF) guidelines, low-dose computed tomography (LDCT) screening is recommended for lung cancer in adults aged 50-80 years who have a 20-pack-year smoking history and currently smoke or have quit within the past 15 years.', 'The US Preventive Services Task Force (USPSTF) recommends annual low-dose computed tomography (LDCT) screening for adults aged 50 to 80 years who have a 20-pack-year smoking history and currently smoke or have quit within the past 15 years.', 'According to the 2020 US Preventive Services Task Force (USPSTF) guidelines, low-dose computed tomography (LDCT) screening for lung cancer is recommended for adults aged 50-80 years who have a:\n\n* 20-pack-year smoking history\n* Currently smoke or have quit within the past 15 years', 'According to the 2020 US Preventive Services Task Force (USPSTF) guidelines, LDCT screening is recommended annually for adults aged 50-80 years who have a 20+ pack-year smoking history and currently smoke or have quit within the past 15 years.', 'According to the 2020 USPSTF Recommendation Statement, LDCT screening is recommended for adults aged 50 to 80 years who have a 20-pack-year smoking history and currently smoke or have quit within the past 15 years.', 'According to the 2018 Lung Cancer Screening (LCS) Guideline Update, published by the American College of Chest Physicians and other organizations, low-dose CT (LDCT) screening is recommended for adults aged 50-80 years who have a 20 pack-year smoking history and currently smoke or have quit within the past 15 years.', 'The US Preventive Services Task Force (USPSTF) recommends annual LDCT screening for adults aged 50 to 80 years who have a 20 pack-year smoking history and currently smoke or have quit within the past 15 years.', 'According to the current US Preventive Services Task Force (USPSTF) guidelines, LDCT screening is recommended annually for adults aged 50-80 years who have a 20 pack-year smoking history and currently smoke or have quit within the past 15 years.'], ['The National Comprehensive Cancer Network (NCCN) recommends low-dose computed tomography (LDCT) screening for lung cancer in individuals with a 20-pack-year smoking history and at least one additional risk factor, such as:\n\n* Currently smoke\n* Have quit within the past 15 years\n* Have a 10-19 pack-year smoking history and other comorbid conditions (e.g., chronic obstructive pulmonary disease, cardiovascular disease)\n\nThis recommendation is also consistent with the US Preventive Services Task Force (USPSTF) guidelines.'], ['According to the 2018 Lung Cancer Screening (LCS) Guidelines of the American College of Chest Physicians, low-dose computed tomography (LDCT) screening is recommended annually for people aged 50-74 years who have a 20-pack-year smoking history and currently smoke or have quit within the past 15 years.']]",-1,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
When is low-dose CT (LDCT) screening recommended for lung cancer in high-risk populations?"
0.40843137199002016,False,"According to the 2020 ACC/AHA/HRS Guideline for the Management of Adult Congenital Heart Disease, transthoracic echocardiography (TTE) is recommended as the initial imaging modality for adult patients with congenital heart disease who have or are at risk of developing RV enlargement and dysfunction.","[['According to current American Heart Association (AHA) guidelines, cardiac MRI is recommended as the primary imaging modality for adult patients with congenital heart disease who have or are at risk of developing right ventricular (RV) enlargement and dysfunction.', 'Cardiac MRI (CMR) is recommended.', 'According to the current guidelines, cardiac MRI is the preferred imaging modality for assessing right ventricular function and morphology in adults with congenital heart disease (CHD) who are at risk of developing RV enlargement and dysfunction.', 'According to the 2020 American Heart Association (AHA) guidelines on cardiovascular disease in adults with congenital heart disease, cardiac MRI is recommended as the preferred imaging modality for assessing right ventricular (RV) function and size.', 'Cardiac MRI (CMR)', 'Cardiac Magnetic Resonance (CMR) imaging is recommended.', 'Cardiovascular Magnetic Resonance (CMR) imaging is recommended for assessing right ventricular function and morphology.'], ['Magnetic Resonance Imaging (MRI) or Computed Tomography (CT) angiography is recommended, with MRI being preferred when feasible.'], ['According to the 2020 American Heart Association (AHA) and the American College of Cardiology (ACC) Guidelines, transthoracic echocardiography (TTE) is recommended as the initial imaging modality for adult patients with congenital heart disease who have or are at risk of developing right ventricular (RV) enlargement and dysfunction.'], ['According to the 2018 ACC/AHA/HRS Guideline on the Evaluation and Management of Patients With Arrhythmia, for adult patients with congenital heart disease (CHD) and right ventricular (RV) involvement, echocardiography is recommended as the initial imaging modality. In addition, CMR (cardiac magnetic resonance) or cardiac CT may be added in selected cases to provide more detailed information on RV function and anatomy.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
Which imaging modality is recommended for adult patients with congenital heart disease who have or who are at risk of developing RV enlargement and dysfunction?"
0.4096910013008056,True,"According to the American College of Radiology (ACR) Appropriateness Criteria, the recommended first-line imaging modality for evaluating suspected osteonecrosis of the hip is:

X-ray.","[['The Centers for Disease Control and Prevention (CDC) and the American College of Radiology (ACR) recommend an X-ray as the initial imaging modality for the evaluation of suspected osteonecrosis of the hip.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, a hip X-ray (Radiography) is recommended as the initial imaging modality for suspected osteonecrosis (avascular necrosis) of the hip.', 'According to the 2022 American College of Radiology (ACR) Appropriateness Criteria for Osteonecrosis of the Hip, X-ray (radiography) is recommended as the initial imaging modality.', 'According to the American College of Radiology (ACR) Appropriateness Criteria and the American Academy of Orthopaedic Surgeons (AAOS), the initial imaging modality for suspected osteonecrosis of the hip is a plain radiograph.', 'X-ray (radiograph) is typically the first imaging modality recommended for evaluating suspected osteonecrosis of the hip, as per current guidelines from the American Academy of Orthopaedic Surgeons (AAOS) and other reputable sources.'], ['Magnetic Resonance Imaging (MRI) is recommended as the first imaging modality to evaluate suspected osteonecrosis of the hip.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, the recommended initial imaging modality for suspected osteonecrosis of the hip is a non-contrast MRI (Magnetic Resonance Imaging).', 'According to the American College of Radiology (ACR) Appropriate Criteria, 2017:\n\n""Routine radiographs (plain films) are usually the first step in evaluating patients with suspected femoral neck or hip fractures. However, if osteonecrosis is suspected, MRI is the imaging modality of choice for initial evaluation.""', 'According to the current American College of Radiology (ACR) guidelines (2020), MRI is recommended as the first-line imaging modality for evaluating suspected femoral head osteonecrosis.'], ['According to the current American Joint Committee on Cancer (AJCC) and National Comprehensive Cancer Network (NCCN) guidelines, X-rays are recommended as the first-line imaging modality for suspected femoral head osteonecrosis.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
For the evaluation of suspected osteonecrosis of the hip, what imaging modality is recommended first?"
0.55583362792012,False,"According to the AASLD (American Association for the Study of Liver Diseases) guidelines, the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:

1. Refractory ascites
2. Hepatorenal syndrome","[['According to AASLD (American Association for the Study of Liver Diseases) guidelines, the two most common indications for TIPS (Transjugular Intrahepatic Portosystemic Shunt) in patients with variceal bleeding are:\n\n1. Refractory variceal hemorrhage\n2. Recurrent variceal bleeding despite endoscopic and pharmacological therapy', 'Based on the currently valid American guidelines (e.g., from the American Association for the Study of Liver Diseases, AASLD), the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Refractory variceal hemorrhage\n2. Recurrent variceal bleeding despite endoscopic and pharmacologic therapy', 'According to the AASLD (American Association for the Study of Liver Disease) Practice Guidance, the two most common indications for TIPS (Transjugular Intrahepatic Portosystemic Shunt) in patients with variceal bleeding are:\n\n1. Recurrent variceal bleeding despite endoscopic and pharmacologic therapy.\n2. Failure of initial management strategies to control active variceal bleeding.\n\nPlease note: These answers are based on the most current guidelines (2020).', 'According to the current AASLD (American Association for the Study of Liver Diseases) guidelines, the 2 most common indications for TIPS (Transjugular Intrahepatic Portosystemic Shunt) in patients with variceal bleeding are:\n\n1. Failure of initial pharmacological and endoscopic therapy.\n2. Recurrent variceal bleeding despite adequate pharmacological and endoscopic therapy.'], ['According to AASLD (American Association for the Study of Liver Diseases) Practice Guidelines, the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Refractory ascites\n2. Variceal bleeding that is refractory to endoscopic and medical therapy', 'According to the AASLD (American Association for the Study of Liver Disease) guidelines, the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Refractory ascites\n2. Variceal hemorrhage not responding to endoscopic and pharmacological treatment', 'According to the AASLD (American Association for the Study of Liver Disease) guidelines, the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Refractory ascites\n2. Recurrent or refractory variceal hemorrhage despite endoscopic and pharmacologic therapy'], ['According to the AASLD (American Association for the Study of Liver Disease) guidelines, the 2 most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Recurrent variceal bleeding despite endoscopic and pharmacologic therapy\n2. Refractory ascites', 'According to the AASLD (American Association for the Study of Liver Diseases) guidelines, the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Recurrent or refractory variceal hemorrhage\n2. Refractory ascites'], ['According to the AASLD (American Association for the Study of Liver Disease) guidelines, the two most common indications for TIPS (Transjugular Intrahepatic Portosystemic Shunt) in patients with variceal bleeding are:\n\n1. Refractory bleeding despite endoscopic and medical therapy\n2. Severe portal vein thrombosis']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
What are the 2 most common indications for TIPS in patients with variceal bleeding?"
0.6160396270529163,False,"According to the National Comprehensive Cancer Network (NCCN) guidelines, for patients with bladder cancer and suspected bone metastases:

* Bone scan or PET/CT should be considered for patients with high-risk features (e.g., T4a/b tumors, lymph node involvement, or visceral metastases).","[['According to the NCCN Guidelines (National Comprehensive Cancer Network), bone metastases are recommended to be assessed by a bone scan or PET-CT scan, especially if there are symptoms or laboratory findings suggesting bone involvement.', 'According to the 2017 National Comprehensive Cancer Network (NCCN) Guidelines, for patients with bladder cancer suspected of having bone metastases:\n\n- Bone scan or PET scan are recommended when clinical suspicion of bone metastasis is high. \n\nNote: This information may be subject to updates; however, as per current guidelines at my last knowledge update in April 2023.', 'According to the 2022 NCCN Guidelines for Bladder Cancer, imaging for bone metastasis should be performed in patients with a high risk of metastatic disease (i.e., muscle-invasive or metastatic bladder cancer) and symptoms suggestive of bone metastases. The recommended imaging modality is:\n\n* Bone scan: as a first-line assessment\n* PET-CT scan: when bone scan results are indeterminate or suspicious\n\nNote: This recommendation may be updated; always refer to the most current guidelines for specific information.', 'The 2022 NCCN Guidelines (National Comprehensive Cancer Network) for Bladder Cancer recommend:\n\n""Imaging studies should be performed to evaluate for metastatic disease in all patients who are newly diagnosed with metastatic urothelial carcinoma.""\n\nFor specific imaging recommendations, they state:\n\n""A bone scan or PET scan may be considered in patients at high risk of bone metastasis (e.g., based on symptoms or laboratory findings suggestive of hypercalcemia).""\n\nSource: NCCN Guidelines for Bladder Cancer, Version 2.2022'], ['According to the National Comprehensive Cancer Network (NCCN) Guidelines, Version 3.2022, imaging for bone metastases in patients with bladder cancer is recommended ""as clinically indicated"". This implies that it should be considered on a case-by-case basis, but there\'s no specific routine recommendation for all patients.\n\nA more detailed statement from the NCCN is: ""Routine pre-treatment or follow-up evaluation of bones for metastasis is not necessary unless clinical circumstances suggest metastatic disease.""', 'According to the NCCN Guidelines (2022), there is no routine ordering of imaging studies, including bone scans, for initial staging of muscle-invasive or high-risk non-muscle invasive bladder cancer unless symptoms or laboratory findings suggest metastatic disease.', 'According to the NCCN (National Comprehensive Cancer Network) guidelines, which are currently valid, there is no routine use of imaging studies to screen for bone metastases in asymptomatic patients with bladder cancer. However, a bone scan may be considered if clinical suspicion or risk factors for bone metastases are present.'], ['The 2022 NCCN Guidelines (National Comprehensive Cancer Network) recommend:\n\n""Imaging studies to evaluate suspected bony metastases should include a PET scan, CT scan of the chest, abdomen, and pelvis, or an MRI of the spine.""\n\nSource: NCCN Guidelines for Bladder Cancer, Version 1.2022'], [""According to the NCCN (National Comprehensive Cancer Network) guidelines, the following are recommended:\n\n* For patients with high-risk or muscle-invasive bladder cancer and no symptoms of bone metastases:\n\t+ Bone scan is not routinely recommended unless there are specific symptoms.\n\t+ PET-CT or MRI may be considered for patients with visceral metastasis to assess for potential osseous involvement.\n\n(Note: Please verify the guidelines through their official website, as I'm an AI and cannot access copyrighted content directly.""], ['According to the 2020 NCCN Guidelines (version 1), for patients with muscle-invasive or metastatic urothelial carcinoma, imaging evaluation should include a baseline chest X-ray and/or CT. Further imaging is not recommended specifically for bone metastasis without other symptoms or evidence of disease spread.']]",-1,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
What is the recommendation regarding imaging in patients with bladder cancer in terms of bone metastasis?"
0.6387640052032225,False,"According to the American College of Obstetricians and Gynecologists (ACOG) guidelines, uterine artery embolization (UAE) is indicated in the management of postpartum hemorrhage when:

* Medical management has failed
* Surgical options are not feasible or have failed
* The patient's condition is unstable despite medical and surgical interventions.","[['According to the American College of Obstetricians and Gynecologists (ACOG), uterine artery embolization is considered a treatment option for severe postpartum hemorrhage that is unresponsive to medical management, typically after administration of oxytocin and/or carboprost tromethamine.', 'According to the American College of Obstetricians and Gynecologists (ACOG) guidelines, uterine artery embolization is indicated in the management of postpartum hemorrhage when other treatments have failed. \n\nSource: ACOG Practice Bulletin No. 183: Postpartum Hemorrhage (2021)\n\nPlease note that specific indications may vary depending on local medical practice and individual circumstances.', 'According to ACOG (American College of Obstetricians and Gynecologists) guidelines, uterine artery embolization may be considered as a secondary intervention when bleeding persists despite medical management of postpartum hemorrhage.', 'According to the ACOG (American College of Obstetricians and Gynecologists) guidelines, uterine artery embolization is considered for postpartum hemorrhage when other measures have failed to control bleeding. Specifically:\n\n*   **Step 3**: Uterine artery embolization is recommended when initial management with uterotonic agents (e.g., oxytocin), compression, and surgical interventions (e.g., manual placental removal, ligation of major vessels) have failed.\n\n**Source:**\nACOG Practice Bulletin No. 76: Postpartum hemorrhage. Obstetrics & Gynecology, 118(4), e1004–e1013.'], ['Uterine artery embolization is indicated in the management of postpartum hemorrhage when medical and surgical treatments (such as uterotonic medications, manual placental extraction, or ligation of the uterus) are unsuccessful. This includes:\n\n* Bleeding that persists after 4 units of blood have been transfused\n* Continued bleeding despite administration of uterotonics and/or manual uterine exploration\n\n(Ref: American College of Obstetricians and Gynecologists (ACOG), Committee Opinion No. 656, ""Uterine Ablation for Management of Postpartum Hemorrhage"")', 'According to the American College of Obstetricians and Gynecologists (ACOG) guidelines, uterine artery embolization (UAE) is indicated in the management of postpartum hemorrhage when medical management has failed and surgical options are not feasible or available.'], ['According to the most current American College of Obstetricians and Gynecologists (ACOG) guidelines, uterine artery embolization (UAE) is indicated for treatment-resistant PPH when:\n\n- Medical therapy has failed\n- Surgical options have been exhausted or are not feasible.', 'According to the American College of Obstetricians and Gynecologists (ACOG) guidelines, uterine artery embolization is indicated in the management of postpartum hemorrhage when:\n\n* Conservative measures fail\n* Severe vaginal bleeding persists or recurs despite medical treatment\n* Surgery is contraindicated or refused by the patient'], ['According to the American College of Obstetricians and Gynecologists (ACOG) guidelines (2020), uterine artery embolization is considered in cases where:\n\n* Initial management of postpartum hemorrhage fails\n* Uterine atony persists after oxytocin administration\n* Hemorrhage is due to retained placental tissue or placenta accreta\n\nSource: ACOG Committee Opinion No. 806: Management of Postpartum Hemorrhage (2020)'], [""Uterine artery embolization is generally recommended for postpartum hemorrhage when medical treatment (e.g., oxytocin, carboprost) fails and surgery (e.g., uterine compression or hysterectomy) has not been immediately performed. However, specific criteria may vary by institution.\n\nAccording to the American College of Obstetricians and Gynecologists (ACOG), embolization is indicated when:\n\n- Medical management is unsuccessful\n- The patient's condition is hemodynamically unstable due to PPH\n- Surgery cannot be quickly accomplished due to anesthetic or surgical reasons\n\nIn general, ACOG does not specify a strict timeline for the interval between medical and interventional management. However, the indication usually involves a failure of less invasive treatments.""]]",-1,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
When is uterine artery embolization indicated in the management of postpartum hemorrhage?"
0.6505149978319905,True,"According to the 2018 AHA/ACC/AJA/ACR/CNS/SAIP/SCAI/SIR/SVM guidelines, ultrasound is recommended as the initial imaging test for screening for abdominal aortic aneurysm (AAA) in men aged 65-75 years who have ever smoked.","[['The AHA/ASA (American Heart Association/American Stroke Association) recommends one-time ultrasonographic screening for abdominal aortic aneurysm (AAA) in men aged 65-75 years who have ever smoked.', 'The US Preventive Services Task Force (USPSTF) recommends one-time ultrasonographic screening for abdominal aortic aneurysm (AAA) in men aged 65 to 75 years who have ever smoked.', 'The AHA/ACC recommends one-time ultrasonographic screening for AAA in men aged 65 to 75 years who have ever smoked. (Source: ACC/AHA 2010 Focused Update Incorporated into the ACC/AHA 2006 Guidelines for the Diagnosis and Management of Patients with Peripheral Artery Disease)', 'According to the 2020 American Heart Association (AHA) guidelines, ultrasound screening for abdominal aortic aneurysm (AAA) in men aged 65-75 years who have ever smoked is recommended.', 'The 2020 US Preventive Services Task Force (USPSTF) recommends one-time screening for abdominal aortic aneurysm (AAA) with ultrasonography in men aged 65 to 75 years who have ever smoked.'], ['According to the 2018 American College of Cardiology/American Heart Association (ACC/AHA) guideline on the treatment of hypertension and other guidelines, low-dose computed tomography (CT) is preferred over ultrasonography as the primary screening method for abdominal aortic aneurysm (AAA) in men aged ≥65 years.'], ['The USPSTF (2021) recommends against routine ultrasonography to screen asymptomatic men for AAA (Abdominal Aortic Aneurysm). However, screening is recommended for specific populations: those with risk factors (e.g., family history), or those previously diagnosed with an AAA.'], ['According to current guidelines (e.g. American College of Cardiology/American Heart Association), one-time ultrasound screening for abdominal aortic aneurysm (AAA) in men aged 65-75 years is recommended, as it reduces mortality from ruptured AAA. The primary goal is to detect and prevent rupture.'], ['According to the AHA/ASA 2018 guidelines, a one-time ultrasonographic examination between the ages of 65 and 75 years may be considered in asymptomatic men with no known cardiovascular risk factors. (Source: AHA/ASA Guideline on the Prevention of Stroke in Patients With Ischemic Stroke or Transient Ischemic Attack)'], ['The USPSTF recommends one-time ultrasonographic screening for abdominal aortic aneurysm (AAA) in adults aged 65 to 75 years who are asymptomatic, with a moderate certainty that benefit is substantial.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
What is the role of ultrasound in screening for abdominal aortic aneurysm in men?"
0.6505149978319905,False,"According to the National Comprehensive Cancer Network (NCCN) guidelines, CT scan with contrast is recommended for primary staging in pancreatic adenocarcinoma.","[['According to the National Comprehensive Cancer Network (NCCN) Guidelines (2022), for primary staging in pancreatic adenocarcinoma, a CT scan with oral and IV contrast is recommended.', 'Contrast-enhanced CT (CECT) scan of the abdomen and pelvis is recommended for primary staging in pancreatic adenocarcinoma.', 'CT with contrast is typically used for primary staging of pancreatic adenocarcinoma, per NCCN guidelines.', 'According to the National Comprehensive Cancer Network (NCCN) guidelines, the recommended imaging modality for primary staging in pancreatic adenocarcinoma is:\n\n* Computed Tomography (CT) scan with contrast.', 'According to the NCCN Guidelines (2022), CT of the abdomen and pelvis, with contrast, is recommended as the initial imaging modality for staging pancreatic adenocarcinoma.'], ['Contrast-enhanced CT (with triphosphine or other contrast agent, 5 mm slice thickness, and 2-3 mm overlap) is the standard imaging modality and protocol for primary staging of pancreatic adenocarcinoma.'], ['The American Joint Committee on Cancer (AJCC) recommends a CT scan of the chest, abdomen, and pelvis with IV contrast for primary staging in pancreatic adenocarcinoma.'], ['According to NCCN (National Comprehensive Cancer Network) guidelines, CT of the abdomen and pelvis with contrast (protocol: 5-7 mm slice thickness, contrast-enhanced arterial and portal venous phases) is recommended for primary staging in pancreatic adenocarcinoma.'], ['MRI, specifically MDCT or MRI with arterial phase imaging, is recommended for primary staging.'], ['According to the National Comprehensive Cancer Network (NCCN) guidelines, CT scans of the chest, abdomen, and pelvis are recommended for primary staging in pancreatic adenocarcinoma.']]",3,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
Which imaging modality and protocol is recommended for primary staging in pancreatic adenocarcinoma?"
