discreteSemanticEntropy,isAnswerCorrect,predictedAnswer,semanticClustering,trueCluster,usedPrompt
-0.0,True,"According to the American College of Radiology (ACR) and the Radiological Society of North America (RSNA), a fat-suppressed T1-weighted sequence can help differentiate endometriomas from mature cystic teratomas. Endometriomas typically do not show high signal intensity on fat-suppressed T1-weighted images, whereas mature cystic teratomas often contain fat and will appear hyperintense on these sequences.","[['Fat-suppressed T1-weighted imaging, specifically the detection of fat within the lesion on fat-saturated sequences (e.g., FS T1WI) can help differentiate between the two. Endometriomas will typically not contain visible fat within them on FS T1WI, whereas mature cystic teratomas often do.\n\n Source: ACR-ACOG-AIUM-SRU Practice Parameter for the Performance of Ultrasound and Magnetic Resonance Imaging of the Female Pelvis (2018), as well as multiple radiology journals/references citing this principle.', 'According to the American College of Radiology (ACR) guidelines, a fat-suppressed T1-weighted sequence can help differentiate endometriomas from mature cystic teratomas. Endometriomas typically lose signal intensity on fat-suppressed images, while dermoid cysts (mature cystic teratomas) retain high signal intensity due to their fatty content.', 'According to current radiological guidelines, T1-weighted fat-suppressed sequences can help differentiate endometriomas (which typically show high signal intensity on T1 and decrease or disappear with fat suppression) from mature cystic teratomas (dermoid cysts, which may contain fat and thus remain hyperintense on fat-suppressed images).', 'According to current US-American guidelines (ACR Appropriateness Criteria, ACR Manual on MR Safety), a Fat-Suppressed T1-weighted sequence can help differentiate endometriomas from mature cystic teratomas.', 'According to the American College of Radiology (ACR) guidelines, a fat-suppressed T1-weighted sequence can help differentiate endometriomas from mature cystic teratomas, as endometriomas typically do not contain fat and will suppress, whereas teratomas may show areas of high signal that persist despite fat suppression due to the presence of fat.', 'According to current American College of Radiology (ACR) guidelines, a fat-suppressed T1-weighted sequence can help differentiate endometriomas from mature cystic teratomas. Endometriomas typically lose signal on this sequence due to hemorrhagic content being suppressed, while mature cystic teratomas retain hyperintense signal due to their fatty components.', 'T1-weighted imaging with fat suppression. Endometriomas typically lose signal intensity on fat-suppressed T1-weighted images, while mature cystic teratomas retain high signal intensity due to the presence of sebaceous material (Source: American College of Radiology, ACR Appropriateness Criteria).', 'According to the American College of Radiology (ACR) and the Radiological Society of North America (RSNA), a fat-suppressed T1-weighted sequence can help differentiate endometriomas from mature cystic teratomas, as it highlights the presence or absence of fat within the lesion.', 'T1-weighted imaging, specifically with fat suppression or chemical shift artifact, can help differentiate between endometriomas and mature cystic teratomas due to their distinct signal characteristics. (Ref: ACR Manual on Contrast Media, ACR-SPR Practice Parameter for the Safe Use of MRI Contrast Media)', 'According to current guidelines, a fat-suppressed T1-weighted (FS-T1) sequence can help differentiate endometriomas from mature cystic teratomas on MRI.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
Which MRI sequence helps differentiating endometriomas from mature cystic teratomas?"
-0.0,True,"According to the American College of Radiology (ACR) and the National Electrical Manufacturers Association (NEMA), the two reference radiodensities used to create the Hounsfield scale are:

1. Air (-1000 HU)
2. Water (0 HU)","[['According to the American College of Radiology (ACR), the two reference radiodensities used to create the Hounsfield scale are:\n\n1. Air (-1000 HU)\n2. Water (0 HU)', 'According to the American Association of Physicists in Medicine (AAPM), the Hounsfield scale uses the following two reference radiodensities:\n\n1. Air: -1000 HU\n2. Water: 0 HU', 'According to the current US-American guidelines (e.g., American College of Radiology), the Hounsfield scale is defined by setting:\n\n- Air: -1000 HU\n- Water: 0 HU', 'According to the current American Association of Physicists in Medicine (AAPM) guidelines, the Hounsfield scale references air at -1000 Hounsfield Units (HU) and water at 0 HU.', 'Air (−1000) and water (+0).', 'According to the American College of Radiology (ACR), the Hounsfield scale is calibrated using air at -1000 HU and water at 0 HU.', 'Water (0 HU) and air (-1000 HU).', 'Water (0 HU) and air (-1000 HU).', 'According to the American Association of Physicists in Medicine (AAPM) and the American College of Radiology (ACR), the Hounsfield scale is defined relative to the radiodensity of water (0 HU) and air (-1000 HU).', 'According to the American College of Radiology (ACR), water and air are the two reference radiodensities used to create the Hounsfield scale. Water is set at 0 HU and air is set at -1000 HU.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
Which two reference radiodensities are used to create the Hounsfield-scale?"
-0.0,True,"According to the American College of Radiology (ACR) and the National Electrical Manufacturers Association (NEMA), gradient coils in MRI are used to:

* Spatially encode magnetic resonance signals
* Selectively excite or suppress signal from specific regions of interest
* Perform spatial localization and slice selection during image acquisition.","[['According to current ACR (American College of Radiology) and RSNA (Radiological Society of North America) guidelines, gradient coils in MRI are used to:\n\n* Spatially encode magnetic resonance signals\n* Select slice planes and directions for imaging\n* Refocus spins after excitation for signal readout', 'According to current US-American guidelines, gradient coils in MRI are used for spatial encoding, allowing for the selection of specific slices, phase encoding, and frequency encoding of the magnetic resonance signal. (Source: ACR Guidance Document on Safe MR Practices)', 'According to current US-American guidelines, specifically the American College of Radiology (ACR) and the National Electrical Manufacturers Association (NEMA), gradient coils in MRI are used for spatial encoding and slice selection during basic image acquisition.', 'According to the ACR Guidance Document on Safe MR Practices (2019), gradient coils are used to spatially encode magnetic resonance signals and select specific planes or volumes for imaging. \n\nIn terms of basic image acquisition, they are used for three main purposes:\n\n1. Slice selection\n2. Frequency encoding (readout)\n3. Phase encoding', 'According to the American College of Radiology (ACR) and the National Electrical Manufacturers Association (NEMA), in MRI, gradient coils are used for spatial encoding, allowing for:\n\n1. Slice selection\n2. Frequency encoding (readout)\n3. Phase encoding\n\n(Reference: ACR-NEMA Standards Publication PS 3.1-2019)', 'According to current US-American guidelines, gradient coils in MRI are used for spatial encoding, allowing for the spatial localization of signal within an image. They provide a varying magnetic field strength along the x, y, and z axes, enabling slice selection, frequency encoding (readout), and phase encoding.', 'According to current US-American guidelines, gradient coils in MRI are used for spatial encoding, allowing for spatial localization of signal intensity within the body, thereby facilitating basic image acquisition. (Source: ACR Guidance Document on Safe MR Practices)', 'According to current US-American guidelines, in basic MRI image acquisition, gradient coils are used for spatial encoding, allowing for:\n\n1. Slice selection\n2. Phase encoding\n3. Frequency encoding (also known as readout)', 'According to current US-American guidelines (ACR Manual on MR Safety, 2020), gradient coils in MRI are used for spatial encoding, allowing for slice selection, frequency encoding, and phase encoding during basic image acquisition.', 'Gradient coils in MRI are used to spatially encode magnetic resonance signals, allowing for localization and formation of images by varying the magnetic field strength along different axes (x, y, z). They switch on and off rapidly during imaging sequences.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
What are gradient coils used for in MRI in terms of basic image acquisition?"
-0.0,True,"According to the American College of Radiology (ACR) and the National Electrical Manufacturers Association (NEMA), increasing slice thickness in MRI:

* Decreases spatial resolution
* Increases signal-to-noise ratio (SNR)","[['According to the American College of Radiology (ACR) Guidelines, increasing slice thickness in MRI:\n\n* Decreases spatial resolution\n* Increases signal-to-noise ratio (SNR)', 'According to the American College of Radiology (ACR) and the American Association of Physicists in Medicine (AAPM), a higher slice thickness in MRI:\n\n* Decreases spatial resolution, as thicker slices average more anatomy, reducing the ability to detect small structures.\n* Increases signal-to-noise ratio (SNR), as more tissue is excited and contributes to the signal.', 'According to the American College of Radiology (ACR) and the RSNA, thicker slices in MRI:\n\n* Decrease spatial resolution\n* Increase signal-to-noise ratio (SNR) \n\n(Reference: ACR-RSNA-SPR Practice Parameter for the Performance of Magnetic Resonance Imaging (MRI), 2018)', 'According to the American College of Radiology (ACR) and the National Electrical Manufacturers Association (NEMA) guidelines, increasing slice thickness in MRI:\n\n* Decreases spatial resolution\n* Increases signal-to-noise ratio (SNR)', 'According to the American College of Radiology (ACR) and the American Association of Physicists in Medicine (AAPM), a higher slice thickness in MRI:\n\n* Decreases spatial resolution\n* Increases signal-to-noise ratio (SNR)', 'According to the American College of Radiology (ACR) and the National Electrical Manufacturers Association (NEMA), increasing slice thickness in MRI:\n\n* Decreases spatial resolution\n* Increases signal-to-noise ratio (SNR) \n\n(References: ACR Manual on MR Safety, NEMA Standards Publication No. MS 1-2019)', 'According to the American College of Radiology (ACR) guidelines, increasing slice thickness in MRI:\n\n* Decreases spatial resolution\n* Increases signal-to-noise ratio (SNR).', 'According to the American College of Radiology (ACR) and the National Electrical Manufacturers Association (NEMA), increasing slice thickness in MRI:\n\n* Decreases spatial resolution\n* Increases signal-to-noise ratio (SNR)', 'According to the American College of Radiology (ACR) Guidelines, increasing slice thickness in MRI:\n\n* Decreases spatial resolution\n* Increases signal-to-noise ratio (SNR)', 'According to the American College of Radiology (ACR) and the National Electrical Manufacturers Association (NEMA), increasing slice thickness in MRI:\n\n* Decreases spatial resolution\n* Increases signal-to-noise ratio (SNR)']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
How does higher slice thickness influence spatial resolution and signal-to-noise ratio in MRI?"
-0.0,False,"According to the US Preventive Services Task Force (USPSTF), LDCT screening is recommended annually for lung cancer in adults aged 50-80 years who:

* Have a 20 pack-year smoking history and currently smoke or have quit within the past 15 years.

(Note: A ""pack-year"" is defined as one pack of cigarettes per day for one year.)","[['According to the United States Preventive Services Task Force (USPSTF) guidelines, annual LDCT screening is recommended for lung cancer in adults aged 50-80 years who:\n\n* Have a 20 pack-year smoking history\n* Currently smoke or have quit within the past 15 years.', 'According to the US Preventive Services Task Force (USPSTF), LDCT screening is recommended annually for lung cancer in adults aged 50-80 years who:\n\n* Have a 20 pack-year smoking history and\n* Currently smoke or have quit within the past 15 years. \n\n(Source: USPSTF, Final Recommendation Statement, 2021)', 'According to the US Preventive Services Task Force (USPSTF), LDCT screening for lung cancer is recommended annually for adults aged 50-80 years who:\n\n* Have a 20 pack-year smoking history\n* Currently smoke or have quit within the past 15 years', 'According to the U.S. Preventive Services Task Force (USPSTF) guidelines, LDCT screening for lung cancer is recommended annually for adults aged 50-80 years who:\n\n* Have a 20 pack-year smoking history and\n* Currently smoke or have quit within the past 15 years.\n\nNote: A ""pack-year"" is defined as the number of packs smoked per day multiplied by the number of years smoked.', 'According to the current U.S. Preventive Services Task Force (USPSTF) guidelines, LDCT screening is recommended annually for lung cancer in adults aged 50-80 years who:\n\n* Have a 20 pack-year smoking history\n* Currently smoke or have quit within the past 15 years', 'According to the U.S. Preventive Services Task Force (USPSTF) 2021 guidelines, annual LDCT screening for lung cancer is recommended for adults aged 50-80 years who:\n\n* Have a 20 pack-year smoking history and currently smoke or have quit within the past 15 years.\n\n(Note: A ""pack-year"" is defined as one pack of cigarettes per day for one year.)', 'According to the United States Preventive Services Task Force (USPSTF), LDCT screening is recommended annually for lung cancer in adults aged 50-80 years who have a 20 pack-year smoking history and currently smoke or have quit within the past 15 years. (Source: USPSTF, 2021)', 'According to the United States Preventive Services Task Force (USPSTF), Low-Dose Computed Tomography (LDCT) screening is recommended for lung cancer in high-risk populations:\n\n* Age: 50-80 years\n* 20 pack-years or more of smoking history\n* Currently smoke or have quit within the past 15 years', 'According to the U.S. Preventive Services Task Force (USPSTF), annual LDCT screening is recommended for:\n\n* Adults aged 50-80 years\n* With a 20 pack-year smoking history and currently smoke or have quit within the past 15 years.\n\n(Note: These recommendations are based on the 2021 USPSTF guidelines)', 'According to the US Preventive Services Task Force (USPSTF), LDCT screening is recommended annually for:\n\n* Adults aged 50-80 years\n* Current or former smokers with a 20 pack-year smoking history and who currently smoke or have quit within the past 15 years\n* No symptoms of lung cancer\n\n(As of 2021 guidelines)']]",-1,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
When is low-dose CT (LDCT) screening recommended for lung cancer in high-risk populations?"
-0.0,True,"According to the United States Preventive Services Task Force (USPSTF) 2019 guidelines, one-time screening with ultrasound is recommended for abdominal aortic aneurysm (AAA) in men aged 65-75 years who have ever smoked.","[['According to the U.S. Preventive Services Task Force (USPSTF), ultrasound is used as the primary method for screening for abdominal aortic aneurysm (AAA) in asymptomatic men aged 65-75 who have ever smoked.', 'According to the U.S. Preventive Services Task Force (USPSTF), ultrasound screening is recommended for men aged 65-75 years who have ever smoked, as it can help detect abdominal aortic aneurysms (AAAs). (Grade B recommendation)', 'According to the U.S. Preventive Services Task Force (USPSTF), ultrasound is recommended as a one-time screening test for abdominal aortic aneurysm (AAA) in men aged 65-75 years who have ever smoked.', 'According to the U.S. Preventive Services Task Force (USPSTF) guidelines, ultrasound is recommended as a one-time screening test for abdominal aortic aneurysm (AAA) in asymptomatic men aged 65-75 years who have ever smoked.', 'According to the United States Preventive Services Task Force (USPSTF) 2019 guidelines, one-time ultrasound screening for abdominal aortic aneurysm (AAA) is recommended for men aged 65-75 years who have ever smoked.', 'According to the US Preventive Services Task Force (USPSTF) 2019 guidelines, one-time ultrasound screening for abdominal aortic aneurysm (AAA) is recommended for men aged 65-75 years who have ever smoked.', 'According to the U.S. Preventive Services Task Force (USPSTF), ultrasound is recommended as a one-time screening test for abdominal aortic aneurysm (AAA) in men aged 65-75 years who have ever smoked, starting at age 65.', 'According to the United States Preventive Services Task Force (USPSTF) 2019 guidelines, one-time ultrasonography screening for abdominal aortic aneurysm (AAA) is recommended for men aged 65-75 years who have ever smoked. \n\nSource: USPSTF Final Recommendation Statement - Abdominal Aortic Aneurysm Screening', 'According to the United States Preventive Services Task Force (USPSTF), ultrasound is recommended as a one-time screening test for abdominal aortic aneurysm (AAA) in men aged 65-75 years who have ever smoked. (Grade B recommendation, 2014 guidelines).', 'According to the U.S. Preventive Services Task Force (USPSTF), one-time screening with ultrasonography is recommended for abdominal aortic aneurysm (AAA) in men aged 65-75 years who have ever smoked.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
What is the role of ultrasound in screening for abdominal aortic aneurysm in men?"
-0.0,True,"According to the American Association for the Study of Liver Diseases (AASLD), the recommended screening interval for HCC in patients with cirrhosis is:

* Ultrasound every 6 months. 

(Reference: AASLD Guidelines for the Diagnosis and Treatment of HCC, 2020)","[['According to the American Association for the Study of Liver Diseases (AASLD) guidelines, ultrasound (US) every 6 months is recommended as the first-line screening modality for hepatocellular carcinoma (HCC) in patients with cirrhosis.', 'According to the American Association for the Study of Liver Diseases (AASLD) 2018 guidelines, and reaffirmed by a 2022 AASLD expert consensus statement, ultrasound is recommended as the first-line imaging modality for HCC screening in patients with cirrhosis, every 6 months.', 'According to the American Association for the Study of Liver Diseases (AASLD), the current guideline recommends ultrasonography every 6 months for surveillance of HCC in patients with cirrhosis. \n\nSource: AASLD Guidelines for the Treatment of Hepatocellular Carcinoma, 2021.', 'According to the American Association for the Study of Liver Diseases (AASLD), the recommended screening interval for HCC in patients with cirrhosis is:\n\n* Ultrasound every 6 months.', 'According to the American Association for the Study of Liver Diseases (AASLD), for patients with cirrhosis, the recommended screening for HCC involves:\n\n* Ultrasonography (US) every 6 months. \n\nSource: AASLD Guidelines for the Diagnosis and Treatment of Hepatocellular Carcinoma (HCC).', 'According to the American Association for the Study of Liver Diseases (AASLD) 2021 guidelines, ultrasound is recommended every 6 months as the first-line screening method for HCC in patients with cirrhosis.', 'According to the American Association for the Study of Liver Diseases (AASLD), the recommended screening interval for HCC in patients with cirrhosis using imaging is:\n\n* Ultrasound every 6 months.', 'According to the American Association for the Study of Liver Diseases (AASLD), patients with cirrhosis should undergo ultrasound screening for hepatocellular carcinoma (HCC) every 6 months. (Source: AASLD Guidelines, 2018)', 'According to the American Association for the Study of Liver Diseases (AASLD), the recommended screening interval for HCC in patients with cirrhosis is:\n\n* Ultrasound (US) every 6 months. \n\n(No CT or MRI is recommended as a routine screening modality.)', 'According to the American Association for the Study of Liver Diseases (AASLD) guidelines, the recommended screening for hepatocellular carcinoma (HCC) in patients with cirrhosis is:\n\n* Ultrasound every 6 months.\n\nSource: AASLD Guidelines for the Screening and Diagnosis of HCC (2020).']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
What is the screening recommendation in terms of imaging for hepatocellular carcinoma (HCC) in patients with cirrhosis?"
-0.0,True,"According to the American College of Radiology (ACR) Appropriateness Criteria (2019), for the evaluation of suspected osteonecrosis of the hip, radiographs (X-rays) are recommended as the initial imaging modality.","[['According to the American College of Radiology (ACR) Appropriateness Criteria (2019), for suspected osteonecrosis of the hip, plain radiography is recommended as the initial imaging modality.', 'According to the American College of Radiology (ACR) and the American Academy of Orthopaedic Surgeons (AAOS), plain radiographs (X-rays) are recommended as the initial imaging study for evaluating suspected osteonecrosis of the hip.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, radiographs (X-rays) are recommended as the initial imaging study for evaluating suspected osteonecrosis of the hip.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, radiographs are the initial imaging modality recommended for evaluating suspected osteonecrosis of the hip.', 'According to the American College of Radiology (ACR) Appropriateness Criteria (2019), radiographs (X-rays) are recommended as the initial imaging modality for evaluating suspected osteonecrosis of the hip.', 'According to the current American College of Radiology (ACR) and American Academy of Orthopaedic Surgeons (AAOS) guidelines, radiographs (plain X-rays) are recommended as the initial imaging study for suspected osteonecrosis of the hip.', 'According to the American College of Radiology (ACR) Appropriateness Criteria (2020), plain radiographs are recommended as the initial imaging modality for suspected osteonecrosis of the hip.', 'According to the American College of Radiology (ACR) Appropriateness Criteria (2019), for suspected osteonecrosis of the hip, plain radiographs (X-rays) are recommended as the initial imaging evaluation.', 'According to the American College of Radiology (ACR) Appropriateness Criteria (2020), radiographs (X-rays) are the initial imaging recommendation for evaluating suspected osteonecrosis of the hip.', 'According to the American College of Radiology (ACR) Appropriateness Criteria (2019), radiographs are recommended as the initial imaging study for evaluating suspected osteonecrosis of the hip.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
For the evaluation of suspected osteonecrosis of the hip, what imaging modality is recommended first?"
-0.0,True,"According to the American College of Radiology (ACR) and the Society for Pediatric Radiology, ultrasound is the first-line imaging study for suspected appendicitis in pediatric patients.","[['According to the American College of Radiology (ACR) Appropriateness Criteria (2019), ultrasound (US) is the recommended first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) and the American Academy of Pediatrics, ultrasound is the first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) and the American Pediatric Surgical Association (APSA), ultrasound is the recommended first-line imaging modality for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) and the Society for Pediatric Radiology, ultrasound is the first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, ultrasound (US) is the recommended first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) and the Society for Pediatric Radiology, ultrasound is the first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) and the American Academy of Pediatrics (AAP), ultrasound (US) is the recommended first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) and the Society for Pediatric Radiology, ultrasound (US) is the first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, ultrasound (US) is the recommended first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) and the Society for Pediatric Radiology, ultrasound is the first-line imaging modality for suspected appendicitis in pediatric patients.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
Which imaging study is first-line for suspected appendicitis in pediatric patients?"
-0.0,True,"According to the 2018 AHA/ACC Guideline for the Management of Adults With Congenital Heart Disease, cardiac MRI (CMR) is the recommended imaging modality for assessing right ventricular (RV) size and function in adult patients with congenital heart disease.","[['According to the 2018 AHA/ACC Guideline for the Management of Adults With Congenital Heart Disease, CMR (Cardiac Magnetic Resonance) imaging is recommended for assessing right ventricular (RV) size and function in adult patients with congenital heart disease who have or are at risk of developing RV enlargement and dysfunction.', 'Cardiovascular Magnetic Resonance (CMR).', 'According to the 2018 AHA/ACC Guideline for the Management of Adults With Congenital Heart Disease, cardiac MRI (CMR) is the recommended imaging modality for assessing right ventricular (RV) size and function in adult patients with congenital heart disease who have or are at risk of developing RV enlargement and dysfunction.', 'According to the 2018 American College of Cardiology/American Heart Association (ACC/AHA) guidelines, cardiac magnetic resonance imaging (CMR) is the recommended imaging modality for evaluating right ventricular (RV) size and function in adult patients with congenital heart disease.', 'According to the 2018 American College of Cardiology/American Heart Association (ACC/AHA) guidelines, cardiac magnetic resonance (CMR) imaging is recommended for assessment of right ventricular (RV) size and function in adult patients with congenital heart disease. (Class I recommendation)', 'According to the 2018 American College of Cardiology (ACC)/American Heart Association (AHA) Guidelines, Cardiac Magnetic Resonance Imaging (CMR) is recommended for adult patients with congenital heart disease who have or who are at risk of developing right ventricular (RV) enlargement and dysfunction.', 'Cardiovascular magnetic resonance (CMR) imaging. (Source: 2018 AHA/ACC Guideline for the Management of Adults With Congenital Heart Disease)', 'According to the 2018 ACC/AHA Guidelines, Cardiac MRI (CMR) is recommended as the preferred imaging modality.', 'Cardiac MRI (CMR) is recommended. (Source: ACC/AHA 2018 Guidelines)', 'According to the 2018 AHA/ACC Guideline for the Management of Adults With Congenital Heart Disease, cardiac MRI (CMR) is the recommended imaging modality for evaluating right ventricular (RV) size and function in adult patients with congenital heart disease.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
Which imaging modality is recommended for adult patients with congenital heart disease who have or who are at risk of developing RV enlargement and dysfunction?"
