Topic;Question;Correct Answer ;Subtopic;Reference;Latest update;Link
1;"What subject categories are assigned to the journal ""European Radiology""?";"- Radiology, Nuclear Medicine & Medical Imaging
- Medicine (Miscellaneous)";Metrics;Clarivate's Journal Citation Reports (JCR);;-
2;The journal 'CardioVascular and Interventional Radiology' occupies which quartil in the radiology domain at the moment?;Q2;Metrics;Clarivate's Journal Citation Reports (JCR);;-
3;What is the current median impact factor of the journal category Radiology, Nuclear Medicine & Medical Imaging according to JCR?;2,1;Metrics;Clarivate's Journal Citation Reports (JCR);;-
4;What is the h-index of a researcher who had published 12 papers, of which 6 have been cited by others at least 6 times and the other 6 have been cited only 1-3 times each?;6;Metrics;Elsevier;;https://scientific-publishing.webshop.elsevier.com/publication-recognition/what-good-h-index/
5;What are the three main factors the Altmetric Attention Score is based on?;Volume, Sources and Authors;Metrics;altmetric;;https://www.altmetric.com/about-us/our-data/donut-and-altmetric-attention-score/#the-altmetric-attention-score
6;What was the second most cited publication in radiology in 2023 according to the RSNA?;ChatGPT and the Future of Medical Writing;Literature Review;RSNA;;https://pubs.rsna.org/doi/10.1148/radiol.233126
7;Summarize the main message of the publication 10.1148/radiol.231436 in one sentence.;Lung nodules were present in a substantial proportion of all age groups in the Northern European nonsmoking population, with slightly higher prevalence for male participants than female participants.;Literature Review;RSNA;;https://pubs.rsna.org/doi/epdf/10.1148/radiol.231436
8;Summarize the purpose of the clinicial trial 'The BD Liverty TIPS � Stent Graft Study a Global, Prospective, Multi-Center, Single-Arm Clinical Study for the Treatment of Complications from Portal Hypertension' in one sentence.;The rationale is to collect information on the safety and effectiveness of the Liverty� TIPS Stent Graft.;Literature Review;Stanford;;https://med.stanford.edu/ir/clinical-trials/arch-study-pi-louie.html
9;Provide the doi of the last publication in the journal 'New England Journal of Medicine' with the topic CT coronary angiography.;10.1056/NEJMoa2200963;Literature Review;NEJM;;10.1056/NEJMoa2200963
10;By listing the DOIs, provide all published meta-analyses regarding evidence on genicular artery embolization in the years 2023 and 2024.;10.1016/j.ocarto.2023.100342 and 10.1007/s00270-023-03422-0 ;Literature Review;Publications;;"https://pubmed.ncbi.nlm.nih.gov/36865988/
https://pubmed.ncbi.nlm.nih.gov/36991094/"
11;Explain the term 'Radiomics' in one sentence.;Radiomics (as applied to radiology) is a field of medical study that aims to extract a large number of quantitative features from medical images using data characterization algorithms. ;Radiologic terms;Radiopaedia;;https://radiopaedia.org/articles/radiomics
12;What is an imaging biomarker of non-alcoholic fatty liver disease?;Proton density fat fraction;Radiologic terms;Radiopaedia;;https://radiopaedia.org/articles/quantitative-imaging-biomarker
13;What model is most commonly used in recent literature to describe the dose-response relationship for tumor control in radiotherapy?;Linear-quadratic (LQ) model;Radiologic terms;The linear quadratic model: usage, interpretation and challenges;;https://pubmed.ncbi.nlm.nih.gov/30523903/
14;What is a commonly used parameter in current literature that allows assessment of tumor angiogenesis and tissue perfusion in DCE-MRI? ;Volume transfer constant (K^trans);Radiologic terms;mriquestions;;https://mriquestions.com/k-trans--permeability.html
15;Statistical parametric mapping is used for which imaging modalities in research?;fMRI and PET;Radiologic terms;Wikipedia;;https://en.wikipedia.org/wiki/Statistical_parametric_mapping
16;What is Cohen's Kappa used for in radiological imaging studies?;Cohen's Kappa is used in radiological imaging studies to measure the level of agreement between different radiologists or diagnostic tools when interpreting the same images, accounting for the possibility of agreement occurring by chance.;Statistics;Radiopaedia;;https://radiopaedia.org/articles/kappa
17;In the context of screening, what is a commonly used metric to compare different tests in terms of trade-off between sensitivity and specificity?;Receiver Operating Characteristic (ROC) curve and the associated Area Under the Curve (AUC);Statistics;Radiopaedia;;https://radiopaedia.org/articles/receiver-operating-characteristic-curve
18;What method can be used to estimate the uncertainty around performance metrics like area under the receiver operating characteristic curve in studies evaluating diagnostic models?;Bootstrap Resampling Method;Statistics;Publication;;https://pubmed.ncbi.nlm.nih.gov/10845400/
19;What are the two most commonly used metrics in image segmentation to compare the algorithm output against reference masks?;Intersection over Union (IoU) and Dice Similarity Coefficient (DSC);Statistics;Publications;;"https://doi.org/10.5169/seals-266450
https://esajournals.onlinelibrary.wiley.com/doi/10.2307/1932409"
20;Which statistical method is commonly used to assess the impact of covariates on the time to progression, e.g. in a study regarding outcome after ablation of liver metastases?;Cox proportional hazards regression;Statistics;Publication;;https://www.jstor.org/stable/2985181
