discreteSemanticEntropy,isAnswerCorrect,predictedAnswer,semanticClustering,trueCluster,usedPrompt
-0.0,True,"The most likely diagnosis is a bilio-portal fistula—an abnormal connection between the bile ducts and portal vein branches that allows contrast agent injected into the biliary system to enter the portal venous system.

**Answer:** A bilio-portal fistula—an abnormal connection between bile ducts and portal vein branches","[['Bilioportal fistula (communication between bile ducts and portal vein branches)', 'Bilioportal fistula (abnormal connection between bile ducts and portal vein branches).', 'Biliary-portal venous fistula.', 'Biliovenous (biliary-portal vein) fistula', 'The most likely diagnosis is a biliary–portal vein fistula.', 'The most likely diagnosis is a biliovenous fistula—an abnormal connection between the biliary system and the portal vein branches. When contrast agent is injected into a percutaneous transhepatic biliary drainage (PTBD) catheter, it should normally fill the biliary ducts without entering the vascular system. Visualization of portal vein branches distal to the biliary entry point indicates that the contrast agent is passing from the biliary system into the portal venous system through a fistulous connection. This can occur due to iatrogenic injury during the PTBD procedure, leading to a communication between the biliary ducts and the portal vein branches.\n\n**Answer:** There is a biliovenous fistula—a bile duct to portal vein connection causing portal enhancement.', 'The most likely diagnosis is a cholangiovenous fistula.', 'A biliary-portal vein fistula.', 'The most likely diagnosis is a biliary–portal vein fistula.', 'The most likely diagnosis is a bilioportal fistula (a fistula between the biliary system and portal vein).']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
After application of contrast agent into a percutaneous transhepatic biliary drainage, portal vein branches distal to the biliary entry of the drainage show contrast enhancement. What is the most likely diagnosis? "
-0.0,True,Lipoma arborescens.,"[['Lipoma arborescens.', 'Lipoma arborescens.', 'Lipoma arborescens.', 'Lipoma arborescens.', 'Lipoma arborescens.', 'The most likely diagnosis is lipoma arborescens.', 'The most likely diagnosis is lipoma arborescens.', 'Lipoma arborescens.', 'The most likely diagnosis is **lipoma arborescens**.', 'Lipoma arborescens']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
I see a synovial mass on a knee MRI. The mass is T1 and T2 hyperintense. There is a concomitant joint effusion. What is the most likely diagnosis? "
-0.0,True,An epidural hematoma.,"[['Epidural hematoma.', 'The most likely diagnosis is an epidural hematoma.', 'Epidural hematoma.', 'An epidural hematoma.', 'The most likely diagnosis is an epidural hematoma.', 'An epidural hematoma.', 'Epidural hematoma.', 'Epidural hematoma.', 'Epidural hematoma.', 'Epidural hematoma.']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
I�m looking at a non-contrast CT of the head of a patient after trauma. I see a large biconvex structure in the left frontotemporal region. What is the most likely diagnosis? "
-0.0,True,It is likely a prostate cancer lesion.,"[['A prostate adenocarcinoma (prostate cancer).', 'A prostate carcinoma.', 'The lesion is most likely prostate cancer.', 'The lesion likely represents prostate cancer (prostatic adenocarcinoma).', 'These imaging findings are consistent with prostate cancer.', 'These imaging findings are suggestive of prostate cancer in the peripheral zone.', 'The lesion is most likely a prostate carcinoma (prostate cancer) in the peripheral zone.', 'Based on the MRI findings—a lesion in the right posterolateral peripheral zone that is hypointense on T2-weighted images, hyperintense on diffusion-weighted imaging (DWI), hypointense on apparent diffusion coefficient (ADC) maps, and shows strong, early enhancement after contrast administration—the most probable diagnosis is **prostate cancer**.', 'The lesion is likely prostate cancer (adenocarcinoma).', 'The lesion is likely a prostate carcinoma (prostate cancer).']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
I am looking at a prostate MRI and see a lesion in the right posterolateral peripheral zone. The lesion is hypointense in T2, hyperintense in DWI, hypointense in ADC and has a strong and early signal enhancement after contrast administration. What kind of lesion could this be?"
-0.0,False,Segond fracture.,"[['The most likely diagnosis is a Segond fracture. A Segond fracture is an avulsion fracture of the lateral tibial plateau, typically resulting from internal rotation and varus stress on the knee. On an anteroposterior X-ray, it appears as a small, elliptical bone fragment projected parallel to the lateral aspect of the tibial plateau. This injury is highly associated with anterior cruciate ligament (ACL) tears and indicates significant knee trauma.\n\n**Answer:** The patient has a Segond fracture—an avulsion fracture of the lateral tibial plateau.', 'The most likely diagnosis is a Segond fracture.', 'The most likely diagnosis is a Segond fracture.', 'The most likely diagnosis is a Segond fracture.', 'Segond fracture (avulsion of the lateral tibial plateau)', 'The most likely diagnosis is a Segond fracture.', 'Segond fracture.', 'The most likely diagnosis is a Segond fracture.', 'Segond fracture.', 'The most likely diagnosis is a Segond fracture.']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
I am looking at an X-ray of the knee on a anteroposterior view of a patient after trauma. I see an elliptic bone fragment projected parallel to the lateral aspect of the tibial plateau. What is the most likely diagnosis? "
-0.0,True,The most likely diagnosis is an adrenal adenoma.,"[['Adrenal cortical adenoma.', 'Adrenal adenoma', 'Adrenal adenoma.', 'The most likely diagnosis is a lipid-rich adrenal adenoma.', 'An adrenal adenoma.', 'An adrenal adenoma.', 'Adrenal adenoma.', 'An adrenal adenoma (lipid-rich benign adrenal tumor).', 'Lipid-rich adrenal adenoma.', 'The most likely diagnosis is an adrenal adenoma.']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
I see an adrenal lesion in an MRI of the epigastric region. The lesion demonstrates a strong signal dropout on opposed-phase images. What is the most likely diagnosis? "
-0.0,True,Radiation-induced mineralizing microangiopathy.,"[['The most likely diagnosis is radiation-induced mineralizing microangiopathy. This condition occurs in patients, especially children, who have received cranial radiation therapy. It is characterized by dystrophic calcifications in the brain, typically affecting areas like the corticomedullary junction, basal ganglia (lentiform nuclei), and cerebellar nuclei (dentate nucleus). The radiation damages small blood vessels in these regions, leading to calcifications in the surrounding brain tissue.\n\n**Answer:** He has radiation-induced mineralizing microangiopathy causing the brain calcifications.', 'The most likely diagnosis is radiation-induced mineralizing microangiopathy.', 'Radiation-induced mineralizing microangiopathy', 'Radiation-induced mineralizing microangiopathy.', 'The most likely diagnosis for a patient with dystrophic calcifications at the corticomedullary junction, lentiform nuclei, and dentate nucleus, following childhood radiation therapy, is mineralizing microangiopathy. This condition arises due to radiation-induced damage to the small blood vessels in the brain, leading to calcifications in these specific regions.\n\n**Answer:** He has radiation-induced mineralizing microangiopathy causing brain calcifications.', 'Radiation-induced mineralizing microangiopathy.', 'Mineralizing microangiopathy', 'Radiation-induced mineralizing microangiopathy', 'Radiation-induced mineralizing microangiopathy', 'Mineralizing microangiopathy due to prior radiation therapy.']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
CT of the brain reveals dystrophic calcifications at the corticomedullary junction, lentiform nuclei and the dentate nucleus. The patient has a history of childhood radiation therapy. What is the most likely diagnosis?"
-0.0,True,Budd-Chiari syndrome.,"[['Budd-Chiari syndrome.', 'Budd-Chiari syndrome.', 'Budd-Chiari syndrome.', 'Budd-Chiari syndrome (hepatic venous outflow obstruction)', 'Budd–Chiari syndrome (hepatic venous outflow obstruction).', 'The most likely diagnosis is Budd-Chiari syndrome.', 'The most likely diagnosis is Budd-Chiari syndrome.', 'The most likely diagnosis is Budd-Chiari syndrome.', 'Budd–Chiari syndrome', 'Budd-Chiari syndrome.']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
CT shows an inhomogeneous mottled liver, delayed enhancement of the peripheral liver with accompanying central low density and early enhancement of the caudate lobe and central liver around the inferior vena cava. What is the most likely diagnosis?"
-0.0,True,Groove pancreatitis,"[['Groove pancreatitis.', 'Groove pancreatitis.', 'Groove pancreatitis.', 'Groove pancreatitis.', 'The most likely diagnosis is groove pancreatitis.', 'The most likely diagnosis is groove pancreatitis.', 'Groove pancreatitis', 'Groove pancreatitis.', 'The most likely diagnosis is **groove pancreatitis**.', 'Groove pancreatitis.']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.

CT shows cystic thickening of the duodenal wall with duodenal stenosis, common bile duct dilatation and fibrous tissue within the pancreaticoduodenal groove with late enhancement after contrast administration. What is the most likely diagnosis?"
-0.0,False,Sarcoidosis.,"[['The most likely diagnosis is silicosis.', 'Silicosis.', 'The most likely diagnosis is silicosis.', 'The most likely diagnosis is **silicosis**.', 'Silicosis', 'Silicosis', 'Silicosis.', 'The most likely diagnosis is silicosis.', 'Silicosis.', 'Silicosis.']]",0,"Please answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
CT shows bilateral pulmonaly nodules in a perilymphatic distribution with upper-lobe predominance and enlarged lymph nodes with fine calcification seen at the periphery of the lymph node. What is the most likely diagnosis? "
